Respondent,ConvertedComp,EdLevel,JobSat,DevOps,DevOpsImpt,EdImpt,Learn,OnboardGood,Overtime,OpSys,OrgSize,PlatformWorkedWith,UndergradMajor,WorkWeekHrs,YearsCode
666,156000.0,College study/no degree,3,No,Extremely important,Fairly important,,Onboarding? What onboarding?,Sometimes: 1-2 days per month but less than weekly,MacOS,2 to 9 employees,"{'Docker', 'MacOS', 'AWS'}",Information system,40.0,37.0
674,,Bachelor’s degree,1,No,,Somewhat important,,No,Occasionally: 1-2 days per quarter but less than monthly,Windows,20 to 99 employees,"{'Microsoft Azure', 'Windows'}",Computer science,40.0,39.0
675,110000.0,Master’s degree,4,No,Extremely important,Somewhat important,Every few months,Yes,Often: 1-2 days per week or more,,20 to 99 employees,"{'Docker', 'Google Cloud Platform', 'AWS'}",Social science,60.0,10.0
681,175000.0,Other doctoral degree,5,No,Not at all important,Fairly important,Once every few years,Yes,Sometimes: 1-2 days per month but less than weekly,Linux-based,10 to 19 employees,"{'Windows', 'Linux', 'AWS'}",Computer science,,35.0
682,38456.0,Master’s degree,2,No,Somewhat important,Very important,Every few months,Onboarding? What onboarding?,Sometimes: 1-2 days per month but less than weekly,Linux-based,2 to 9 employees,"{'Slack Apps and Integrations', 'Linux', 'Microsoft Azure', 'Kubernetes', 'AWS', 'Docker', 'Google Cloud Platform'}",Computer science,45.0,10.0
685,958584.0,Other doctoral degree,2,Yes,Extremely important,Very important,Every few months,Yes,Often: 1-2 days per week or more,Linux-based,100 to 499 employees,"{'Linux', 'WordPress', 'MacOS', 'Android', 'iOS', 'Arduino', 'Docker', 'Google Cloud Platform'}",Computer science,40.0,20.0
687,60000.0,Bachelor’s degree,4,Yes,Extremely important,Somewhat important,Once a year,No,Sometimes: 1-2 days per month but less than weekly,Linux-based,2 to 9 employees,"{'Slack Apps and Integrations', 'Linux', 'MacOS', 'Raspberry Pi', 'Arduino', 'AWS'}",Engineering other,40.0,6.0
688,50000.0,Secondary school,2,No,Extremely important,Not important,Every few months,Onboarding? What onboarding?,Often: 1-2 days per week or more,Windows,20 to 99 employees,{'Windows'},,45.0,1.0
691,,Master’s degree,4,Not sure,Neutral,Very important,Once a year,Yes,Often: 1-2 days per week or more,Windows,"10,000 or more employees","{'Linux', 'Android', 'Raspberry Pi', 'Arduino', 'Windows'}",Engineering other,,9.0
692,150000.0,Master’s degree,2,Yes,Somewhat important,Very important,Every few months,Yes,Never,Linux-based,20 to 99 employees,"{'Linux', 'MacOS', 'AWS', 'Windows', 'Google Cloud Platform'}",,40.0,30.0
696,6000.0,Professional degree,4,No,Neutral,Very important,Once a year,No,Never,Windows,20 to 99 employees,"{'Windows', 'Android', 'Google Cloud Platform'}",Computer science,44.0,12.0
705,75631.0,College study/no degree,3,Yes,Somewhat important,Not important,Every few months,No,Never,Windows,100 to 499 employees,{'Microsoft Azure'},Computer science,37.0,20.0
706,25852.0,College study/no degree,5,Yes,Extremely important,Very important,Every few months,Yes,Never,MacOS,100 to 499 employees,"{'Linux', 'MacOS', 'Android', 'Raspberry Pi', 'Arduino', 'Windows', 'Google Cloud Platform'}",Computer science,39.0,9.0
707,55000.0,Other doctoral degree,5,No,Neutral,Critically important,Once every few years,Yes,Sometimes: 1-2 days per month but less than weekly,Windows,"10,000 or more employees",{'Windows'},Natural science,40.0,25.0
709,118000.0,Other doctoral degree,5,Not sure,,Very important,Once a year,No,Occasionally: 1-2 days per quarter but less than monthly,Windows,"10,000 or more employees",{'Windows'},Social science,41.0,22.0
710,120000.0,Master’s degree,5,Yes,Extremely important,Somewhat important,Every few months,Onboarding? What onboarding?,Often: 1-2 days per week or more,MacOS,20 to 99 employees,"{'Linux', 'Microsoft Azure', 'Kubernetes', 'Docker', 'Google Cloud Platform'}",Math or stats,40.0,5.0
711,14544.0,Bachelor’s degree,5,No,Extremely important,Somewhat important,Every few months,Yes,Often: 1-2 days per week or more,Windows,20 to 99 employees,"{'Microsoft Azure', 'Windows'}",Business,30.0,4.0
713,38778.0,Master’s degree,5,No,Extremely important,Very important,Every few months,Yes,Often: 1-2 days per week or more,Windows,2 to 9 employees,"{'Microsoft Azure', 'Windows', 'Linux', 'Google Cloud Platform'}",Computer science,45.0,8.0
720,,Bachelor’s degree,1,Yes,Somewhat important,Fairly important,Once a year,Yes,Often: 1-2 days per week or more,MacOS,20 to 99 employees,{},Business,40.0,2.0
722,130000.0,Master’s degree,5,No,Extremely important,Not important,Once a year,Yes,Sometimes: 1-2 days per month but less than weekly,Windows,"10,000 or more employees",{},Engineering other,40.0,12.0
724,2000000.0,College study/no degree,1,Not sure,Neutral,Critically important,Once every few years,No,Often: 1-2 days per week or more,MacOS,100 to 499 employees,"{'Docker', 'Google Cloud Platform'}",Computer science,40.0,3.0
727,109665.0,Bachelor’s degree,5,Yes,Extremely important,Somewhat important,Once a year,No,Rarely: 1-2 days per year or less,MacOS,"5,000 to 9,999 employees","{'Docker', 'AWS'}",Computer science,35.0,12.0
732,170000.0,Bachelor’s degree,5,Yes,Extremely important,Somewhat important,Every few months,No,Often: 1-2 days per week or more,MacOS,20 to 99 employees,"{'Kubernetes', 'Google Cloud Platform'}",Engineering other,50.0,9.0
742,130000.0,Bachelor’s degree,5,Not sure,Extremely important,Somewhat important,Every few months,Yes,Occasionally: 1-2 days per quarter but less than monthly,Windows,"10,000 or more employees","{'Slack Apps and Integrations', 'Linux', 'MacOS', 'Microsoft Azure', 'Raspberry Pi', 'AWS', 'Docker', 'Windows'}",Computer science,40.0,6.0
746,500000.0,College study/no degree,5,Yes,Somewhat important,Not important,Every few months,Yes,Often: 1-2 days per week or more,Linux-based,10 to 19 employees,"{'Linux', 'WordPress', 'MacOS', 'Kubernetes', 'Docker', 'Windows', 'Google Cloud Platform'}",,120.0,38.0
757,138936.0,Professional degree,4,No,Neutral,Fairly important,Once a year,Onboarding? What onboarding?,Sometimes: 1-2 days per month but less than weekly,Windows,"Just me - I am a freelancer, sole proprietor, etc.","{'Microsoft Azure', 'Windows'}",Natural science,37.0,35.0
759,120000.0,Bachelor’s degree,5,No,Somewhat important,Not important,Once a year,Onboarding? What onboarding?,Sometimes: 1-2 days per month but less than weekly,Windows,20 to 99 employees,"{'Windows', 'Raspberry Pi'}",Computer science,35.0,21.0
761,83500.0,Bachelor’s degree,3,No,Somewhat important,Critically important,Once a year,No,Often: 1-2 days per week or more,Windows,2 to 9 employees,"{'Raspberry Pi', 'Windows', 'Linux', 'AWS'}",Natural science,60.0,32.0
778,35672.0,Master’s degree,4,No,Somewhat important,Fairly important,Once a year,Onboarding? What onboarding?,Occasionally: 1-2 days per quarter but less than monthly,MacOS,2 to 9 employees,"{'Linux', 'WordPress', 'MacOS', 'Android', 'Heroku', 'Arduino', 'AWS', 'Docker'}",Computer science,38.0,10.0
789,70000.0,Master’s degree,2,No,Extremely important,Very important,Every few months,Onboarding? What onboarding?,Occasionally: 1-2 days per quarter but less than monthly,Linux-based,"5,000 to 9,999 employees","{'Docker', 'MacOS', 'Microsoft Azure', 'Linux'}",Math or stats,40.0,7.0
811,170000.0,Bachelor’s degree,4,Yes,Extremely important,Fairly important,Every few months,No,Sometimes: 1-2 days per month but less than weekly,Linux-based,100 to 499 employees,"{'MacOS', 'Microsoft Azure', 'Linux', 'AWS'}",Computer science,50.0,10.0
818,2000000.0,Bachelor’s degree,1,No,Somewhat important,Fairly important,Once a year,No,Occasionally: 1-2 days per quarter but less than monthly,Linux-based,100 to 499 employees,"{'Raspberry Pi', 'Heroku', 'Linux', 'AWS'}",Social science,40.0,25.0
830,,Bachelor’s degree,3,No,Not very important,Somewhat important,Every few months,Onboarding? What onboarding?,Sometimes: 1-2 days per month but less than weekly,MacOS,"10,000 or more employees",{},Math or stats,40.0,4.0
